Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
75,BD-210397 c,2,1,2,1,1,23.7324,0.0228,-0.0227,23.7324,0.0228,-0.0227,2.0
76,CD Cet b,1,1,1,1,1,8.60715,0.00658,-0.00658,8.60715,0.00658,-0.00658,1.0
77,CFBDSIR J145829+101343 b,1,1,1,2,1,23.1,2.4,-2.4,23.1,2.4,-2.4,1.0
78,CFHTWIR-Oph 98 b,1,1,1,2,2,415.17,4.8765,-4.7835,415.17,4.8765,-4.7835,1.0
79,CHXR 73 b,1,1,1,2,2,190.374,6.647,-6.22,190.374,6.647,-6.22,0.0
80,CI Tau b,1,1,1,1,1,157.998,1.198,-1.18,157.998,1.198,-1.18,1.0
81,COCONUTS-2 b,1,1,1,2,1,10.8864,0.0041,-0.0042,10.8864,0.0041,-0.0042,2.0
82,CT Cha b,1,1,1,2,1,190.72,0.778,-0.771,190.72,0.778,-0.771,0.0
83,CoRoT-1 b,1,1,1,4,2,787.909,23.491,-23.491,787.909,23.491,-23.491,0.0
84,CoRoT-10 b,1,1,1,4,2,338.386,3.9865,-3.9865,338.386,3.9865,-3.9865,0.0
85,CoRoT-11 b,1,1,1,4,2,655.037,24.947,-23.209,655.037,24.947,-23.209,0.0
86,CoRoT-12 b,1,1,1,4,2,1126.37,55.745,-55.745,1126.37,55.745,-55.745,0.0
87,CoRoT-13 b,1,1,1,4,2,1148.93,62.12,-56.15,1148.93,62.12,-56.15,0.0
88,CoRoT-14 b,1,1,1,4,2,1744.6,173.03,-144.9,1744.6,173.03,-144.9,0.0
89,CoRoT-16 b,1,1,1,4,2,732.409,35.344,-32.282,732.409,35.344,-32.282,0.0
90,CoRoT-17 b,1,1,1,4,2,1176.12,57.17,-52.19,1176.12,57.17,-52.19,0.0
91,CoRoT-18 b,1,1,1,4,2,764.889,27.614,-25.784,764.889,27.614,-25.784,0.0
92,CoRoT-19 b,1,1,1,4,2,790.663,26.737,-25.071,790.663,26.737,-25.071,0.0
93,CoRoT-2 b,1,2,1,4,2,213.283,2.485,-2.43,213.283,2.485,-2.43,6.0
94,CoRoT-20 b,1,1,2,4,2,844.061,24.171,-22.883,844.061,24.171,-22.883,1.0
95,CoRoT-20 c,2,1,2,1,1,844.061,24.171,-22.883,844.061,24.171,-22.883,0.0
96,CoRoT-21 b,1,1,1,4,2,1398.8341969,286.4501849,-286.4501849,1398.8341969,286.4501849,-286.4501849,0.0
97,CoRoT-22 b,1,1,1,4,2,627.158,11.187,-10.808,627.158,11.187,-10.808,0.0
98,CoRoT-23 b,1,1,1,4,2,1060.97,45.47,-41.94,1060.97,45.47,-41.94,0.0
99,CoRoT-24 b,1,1,2,4,2,591.555,16.043,-15.232,591.555,16.043,-15.232,0.0
