pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,sy_dist,sy_disterr1,sy_disterr2,pl_nnotes
3.22748000,0.00008000,-0.00008000,0,1123.2100000,55.9000000,-50.9200000,0
5.61653100,0.00002300,-0.00002300,0,925.9580000,27.7960000,-26.2470000,0
9.20205000,0.00037000,-0.00037000,0,726.4120000,15.1810000,-14.5820000,0
4.03789620,0.00000190,-0.00000190,0,882.4720000,25.6200000,-25.6200000,0
8.88659300,0.00000400,-0.00000400,0,645.2940000,12.4530000,-11.9970000,0
0.85359163,0.00000001,-0.00000001,0,159.9060000,0.9170000,-0.9060000,3
3.69800000,0.00300000,-0.00300000,0,159.9060000,0.9170000,-0.9060000,4
8.96600000,1.54600000,-1.54600000,0,159.9060000,0.9170000,-0.9060000,2
6.21229000,0.00003000,-0.00003000,0,322.0370000,2.7140000,-2.7140000,0
95.27265600,0.00006800,-0.00006800,0,412.9800000,4.7250000,-4.6220000,2
6.71837000,0.00001000,-0.00001000,0,576.6830000,10.4360000,-10.4360000,0
4098.10000000,131.50000000,-131.50000000,0,30.5225000,0.0284000,-0.0285000,1
246.36000000,1.38000000,-1.35000000,0,20.7700000,0.0800000,-0.0800000,0
,,,,134.8460000,1.2820000,-1.2580000,1
18.57000000,0.01000000,-0.01000000,0,62.5388000,0.1782000,-0.1773000,1
6.58400000,0.00300000,-0.00200000,0,62.5388000,0.1782000,-0.1773000,1
2.88200000,0.00100000,-0.00100000,0,62.5388000,0.1782000,-0.1773000,1
5.51600000,0.00200000,-0.00400000,0,62.5388000,0.1782000,-0.1773000,1
5.20720000,0.00020000,-0.00550000,0,137.9400000,0.6810000,-0.6750000,1
6.67320000,0.00110000,-0.00030000,0,45.2300000,1.6000000,-1.7200000,2
3.49820000,0.00220000,-0.23270000,0,25.3284000,0.0382000,-0.0380000,1
10220.00000000,730.00000000,-730.00000000,0,305.6840000,33.5540000,-27.6040000,1
8.13826800,0.00001100,-0.00001100,0,44.0622000,0.0693000,-0.0691000,2
6.79870000,0.00010000,-0.00010000,0,134.0000000,45.8000000,-39.8000000,0
28.16560000,0.00270000,-0.00280000,0,159.2590000,1.4140000,-1.3900000,0
0.72091000,0.00014000,-0.00014000,0,706.3910000,16.7900000,-16.7900000,
2.13174000,0.00022000,-0.00022000,0,253.0260000,1.6640000,-1.6640000,0
0.87721400,0.00006000,-0.00006000,0,232.1000000,2.7060000,-2.6460000,0
3.80464000,0.00091000,-0.00105000,0,476.8820000,9.6920000,-9.3210000,0
2.71578000,0.00031000,-0.00031000,0,334.9670000,4.1785000,-4.1785000,0
2.04780000,0.00010000,-0.00010000,0,577.6000000,33.2000000,-29.8000000,0
3.96151000,0.00046000,-0.00051000,0,257.4430000,3.2390000,-3.2390000,0
4.16980000,0.00010000,-0.00010000,0,436.4880000,8.1780010,-7.8880000,0
8.05072200,0.00007500,-0.00003800,0,243.9350000,4.2390000,-4.0990000,1
4.50756000,0.00062000,-0.00060000,0,369.8880000,4.9900000,-4.8600000,1
0.91172400,0.00007600,-0.00007600,0,369.8880000,4.9900000,-4.8600000,1
14.64753100,0.00000410,-0.00000410,0,369.8880000,4.9900000,-4.8600000,1
2.87814000,0.00023000,-0.00026000,0,161.3650000,1.7930000,-1.7930000,0
5.29860000,0.00060000,-0.00060000,0,451.7690000,13.9760000,-13.1760000,0
0.35488400,0.00006300,-0.00006300,0,451.7690000,13.9760000,-13.1760000,0
2.25543600,0.00009100,-0.00009100,0,109.8880000,1.0800000,-1.0800000,1
1.58252000,0.00017000,-0.00018000,0,314.3500000,2.9360000,-2.8820000,0
17.51547200,0.00228800,-0.00296500,0,314.3500000,2.9360000,-2.8820000,0
21.17019630,0.00006620,-0.00006420,0,186.1970000,1.3645000,-1.3645000,1
19.49221000,0.00066600,-0.00065300,0,181.6900000,1.2950000,-1.2770000,0
2.28936300,0.00023200,-0.00025100,0,418.3950000,7.3530000,-7.1070000,
5.21396500,0.00044200,-0.00044200,0,418.3950000,7.3530000,-7.1070000,
18.09830000,0.00600000,-0.00580000,0,611.8040000,10.2850000,-9.9560000,0
34.88500000,0.01100000,-0.01000000,0,283.2900000,2.0430000,-2.0150000,0
15.28078000,0.00012100,-0.00011600,0,320.0700000,6.3920000,-6.1520000,
23.22855500,0.00006800,-0.00007100,0,320.0700000,6.3920000,-6.1520000,
0.57865700,0.00001600,-0.00001600,0,561.9290000,8.9130000,-8.6440000,
11.81143700,0.00011000,-0.00011000,0,561.9290000,8.9130000,-8.6440000,
13.60300000,0.00130000,-0.00130000,0,336.2500000,4.7430000,-4.6150000,2
65.55000000,0.00890000,-0.00890000,0,336.2500000,4.7430000,-4.6150000,2
0.76240600,0.00015000,-0.00015000,0,624.5120000,14.9470000,-14.9470000,
0.70531000,0.00003700,-0.00003700,0,496.2890000,7.9020000,-7.6630000,0
0.57129200,0.00001200,-0.00001200,0,244.5900000,3.0440000,-2.9720000,3
13.33970000,0.00096000,-0.00096000,0,244.5900000,3.0440000,-2.9720000,3
0.72811300,0.00006300,-0.00006300,0,150.1240000,1.7990000,-1.7580000,0
16.14113200,0.00001900,-0.00001900,0,121.9710000,0.8790000,-0.8660000,0
6.18023500,0.00001400,-0.00001400,0,372.6320000,19.4560000,-17.6440000,2
3650.00000000,1280.00000000,-1130.00000000,0,551.8860000,12.7520000,-12.7520000,0
3.59510000,0.00030000,-0.00030000,0,321.2960000,4.1890000,-4.0850000,0
15.62400000,0.00100000,-0.00100000,0,321.2960000,4.1890000,-4.0850000,0
35.74700000,0.00500000,-0.00500000,0,321.2960000,4.1890000,-4.0850000,0
,,,,133.4950466,22.9649891,-22.9649891,1
2.30538000,0.00031000,-0.00031000,0,16.0090000,0.0104000,-0.0103000,
8.05180000,0.00340000,-0.00340000,0,16.0090000,0.0104000,-0.0103000,
5.74600700,0.00000600,-0.00000600,0,27.9276000,0.0451000,-0.0450000,1
10.34650000,0.02700000,-0.02700000,0,4.8486700,0.0030300,-0.0030400,1
21.20200000,0.01300000,-0.01300000,0,4.8486700,0.0030300,-0.0030400,1
3.20400000,0.00100000,-0.00100000,0,3.6727800,0.0008900,-0.0009000,1
6.68900000,0.00500000,-0.00500000,0,3.6727800,0.0008900,-0.0009000,1
13.03100000,0.02500000,-0.03200000,0,3.6727800,0.0008900,-0.0009000,1
1.62893100,0.00002700,-0.00002700,0,12.6130000,0.0070000,-0.0070000,2
8.92900000,0.01000000,-0.01000000,0,12.6130000,0.0070000,-0.0070000,1
41.38000000,0.00200000,-0.00100000,0,11.0143000,0.0064000,-0.0065000,
532.58000000,4.14000000,-2.52000000,0,11.0143000,0.0064000,-0.0065000,
389.70000000,5.40000000,-6.50000000,0,8.0362500,0.0077200,-0.0077100,0
1.58040433,0.00000013,-0.00000013,0,14.6427000,0.0372000,-0.0372000,3
0.51823310,0.00000840,-0.00000840,0,20.3730000,0.0192000,-0.0192000,0
3.65110000,0.00120000,-0.00120000,0,10.2525000,0.0075000,-0.0076000,0
35.61253000,0.00060000,-0.00062000,0,16.3200000,0.0071000,-0.0071000,1
11.44070000,0.00170000,-0.00160000,0,3.5622800,0.0005500,-0.0005500,4
7600.00000000,2200.00000000,-1700.00000000,0,3.5622800,0.0005500,-0.0005500,
5.23540000,0.00270000,-0.00650000,0,25.8557000,0.0393000,-0.0391000,0
8.63182000,0.00155000,-0.00155000,0,15.1285000,0.0072000,-0.0072000,0
25.63058000,0.02550000,-0.02550000,0,15.1285000,0.0072000,-0.0072000,0
603.95116000,7.55862000,-7.55862000,0,15.1285000,0.0072000,-0.0072000,0
2288.00000000,59.00000000,-59.00000000,0,12.3560000,0.0093000,-0.0093000,0
17.13300000,0.00300000,-0.00300000,0,11.9407000,0.0045000,-0.0045000,0
24.32900000,0.05200000,-0.06600000,0,11.9407000,0.0045000,-0.0045000,0
106.30000000,0.12900000,-0.12900000,0,11.9407000,0.0045000,-0.0045000,0
2.38129000,0.00015000,-0.00013000,0,37.0788000,0.0647000,-0.0644000,0
25533.11353000,2549.01187000,-2322.57168000,0,37.0788000,0.0647000,-0.0644000,0
69.97100000,0.06100000,-0.06100000,0,28.4434000,0.0234000,-0.0233000,0
121.93268000,0.06708000,-0.08158000,0,5.7562400,0.0015250,-0.0015250,5
579.47495000,1.67942000,-1.41414000,0,5.7562400,0.0015250,-0.0015250,5
14.23800000,0.00200000,-0.00200000,0,5.5805700,0.0019800,-0.0019800,0
15.81900000,0.02300000,-0.02600000,0,23.6062000,0.0256500,-0.0256500,0
18.64980000,0.00590000,-0.00520000,0,5.9215350,0.0206332,-0.0206332,0
4.72340000,0.00040000,-0.00040000,0,5.9215350,0.0206332,-0.0206332,0
133.71000000,0.20000000,-0.20000000,0,17.5559000,0.0073000,-0.0073000,4
11.94900000,0.02200000,-0.02200000,0,16.6186000,0.0074500,-0.0074500,0
2.85313600,0.00006400,-0.00003800,0,22.4751000,0.0260500,-0.0260500,0
1.22003000,0.00006000,-0.00004000,0,28.4712000,0.0350500,-0.0350500,0
5.97400000,0.00100000,-0.00100000,0,28.4712000,0.0350500,-0.0350500,0
257.80000000,3.60000000,-3.50000000,0,28.4712000,0.0350500,-0.0350500,0
695.66000000,0.35500000,-0.35500000,0,15.1968000,0.0130000,-0.0129000,
6739.32300000,143.10600000,-143.10600000,0,15.1968000,0.0130000,-0.0129000,
10.66669000,0.00285000,-0.00231000,0,18.2381700,,,1
3771.00000000,17.00000000,-17.00000000,0,20.5266000,0.0168500,-0.0168500,0
241.80000000,1.30000000,-1.70000000,0,20.5266000,0.0168500,-0.0168500,0
30.59870000,0.00830000,-0.00840000,0,20.1903000,0.0216000,-0.0216000,0
122.61960000,0.24290000,-0.23710000,0,20.1903000,0.0216000,-0.0216000,0
48.13450000,0.06280000,-0.06610000,0,20.1903000,0.0216000,-0.0216000,0
13.25430000,0.00780000,-0.01040000,0,20.1903000,0.0216000,-0.0216000,0
5.36360000,0.00070000,-0.00070000,0,5.3748400,0.0017200,-0.0017200,0
40.54000000,0.21000000,-0.19000000,0,5.3748400,0.0017200,-0.0017200,0
14.20700000,0.00700000,-0.00700000,0,23.6190000,0.0291000,-0.0290000,0
24.42200000,0.01400000,-0.01400000,0,6.3325600,0.0016700,-0.0016800,4
3.33664960,0.00000390,-0.00000330,0,29.4214000,0.0508000,-0.0507000,3
1.19800350,0.00000180,-0.00000190,0,27.3644000,0.0376000,-0.0376000,1
15.50900000,0.03300000,-0.03300000,0,27.3644000,0.0376000,-0.0376000,1
203.69000000,0.09000000,-0.02000000,0,9.4863700,0.0085700,-0.0085600,1
1599.60000000,1.10000000,-0.80000000,0,9.4863700,0.0085700,-0.0085600,1
3.93060000,0.00000200,-0.00000200,0,9.4418100,0.0051100,-0.0051100,0
9.12470000,0.00110000,-0.00100000,0,9.4418100,0.0051100,-0.0051100,0
55.66100000,0.05500000,-0.05500000,0,9.4418100,0.0051100,-0.0051100,0
2.64561000,0.00066000,-0.00066000,0,20.3779000,0.0316500,-0.0316500,0
0.32192250,0.00000020,-0.00000020,0,9.4126300,0.0028350,-0.0028350,0
11.53010000,0.00780000,-0.00780000,0,9.4126300,0.0028350,-0.0028350,0
34.36900000,0.07300000,-0.07300000,0,9.4126300,0.0028350,-0.0028350,0
3.02320000,0.00130000,-0.00130000,0,13.7430000,0.0117000,-0.0116000,0
2.61623500,0.00000500,-0.00000500,0,15.8095000,0.0096000,-0.0095000,0
15.04000000,0.03000000,-0.03000000,0,15.8095000,0.0096000,-0.0095000,0
7.02679000,0.00082000,-0.00085000,0,7.0314900,0.0024850,-0.0024850,
6.90500000,0.04000000,-0.04000000,0,16.9287000,0.0063500,-0.0063500,0
2.64977000,0.00081000,-0.00077000,0,18.1459000,0.0165000,-0.0165000,1
13.74000000,0.01600000,-0.01600000,0,18.1459000,0.0165000,-0.0165000,1
12.93940000,0.00140000,-0.00130000,0,5.6757730,0.0059099,-0.0059099,3
50.80000000,0.10000000,-0.26000000,0,11.8893000,0.0067000,-0.0067000,3
749.83000000,4.35000000,-3.63000000,0,11.8893000,0.0067000,-0.0067000,3
20.12900000,0.00500000,-0.00500000,0,12.6631000,0.0072000,-0.0073000,0
13.35200000,0.00300000,-0.00300000,0,21.3362000,0.0172000,-0.0172000,0
7.37050000,0.00050000,-0.00050000,0,9.0645600,0.0036700,-0.0036700,0
5094.10500000,608.61700000,-608.61700000,0,9.0645600,0.0036700,-0.0036700,4
36.05900000,0.01600000,-0.01600000,0,9.0645600,0.0036700,-0.0036700,0
2.64388312,0.00000057,-0.00000057,0,9.7532100,0.0089800,-0.0089600,0
3448.00000000,110.00000000,-88.00000000,0,18.3554000,0.0109000,-0.0109000,1
9.56700000,0.00500000,-0.00500000,0,14.2358000,0.0151500,-0.0151500,0
1.46711900,0.00003100,-0.00003000,0,8.0742600,0.0040950,-0.0040950,0
,,,,17.5299000,0.0785000,-0.0778000,1
140.43000000,0.41000000,-0.41000000,0,7.6177800,0.0031750,-0.0031750,0
8.70760000,0.00220000,-0.00250000,0,10.4092000,0.0095500,-0.0095500,
5.36860000,0.00010000,-0.00010000,0,6.2981000,0.0020950,-0.0020950,
12.91400000,0.00200000,-0.00200000,0,6.2981000,0.0020950,-0.0020950,
3.14900000,0.00020000,-0.00020000,0,6.2981000,0.0020950,-0.0020950,
14.62800000,0.01200000,-0.01300000,0,6.4724900,0.0011550,-0.0011550,0
600.10000000,1.70000000,-1.70000000,0,10.3796000,0.0033500,-0.0033500,0
7.20040000,0.00170000,-0.00170000,0,7.2439600,0.0048600,-0.0048500,2
28.14000000,0.05300000,-0.06500000,0,7.2439600,0.0048600,-0.0048500,2
62.24000000,0.55000000,-0.55000000,0,7.2439600,0.0048600,-0.0048500,3
39.02600000,0.19400000,-0.21100000,0,7.2439600,0.0048600,-0.0048500,3
256.20000000,13.80000000,-7.90000000,0,7.2439600,0.0048600,-0.0048500,3
4.69380000,0.00700000,-0.00700000,0,4.5489600,0.0010150,-0.0010150,0
1051.44521000,0.37707000,-0.40023000,0,16.0272000,0.0101000,-0.0101000,4
13921.42302000,1232.33794000,-1514.65143000,0,16.0272000,0.0101000,-0.0101000,4
3.60076000,0.00019000,-0.00020000,0,16.0272000,0.0101000,-0.0101000,4
35.47358000,0.01560000,-0.01472000,0,16.0272000,0.0101000,-0.0101000,4
17281.66514000,4832.84502000,-3919.17991000,0,9.6731500,0.0051350,-0.0051350,0
17.47800000,0.06200000,-0.04000000,0,5.0067100,0.0021000,-0.0021000,0
57.32000000,0.45000000,-0.48000000,0,5.0067100,0.0021000,-0.0021000,0
24.16000000,0.06100000,-0.04700000,0,14.3155000,0.0081000,-0.0081000,1
38.14200000,0.00700000,-0.00700000,0,4.5493900,0.0006800,-0.0006800,1
727.56200000,12.19800000,-12.19800000,0,4.5493900,0.0006800,-0.0006800,1
19.46600000,0.00500000,-0.00500000,0,15.5575000,0.0061000,-0.0061000,
