Unnamed: 0,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
4246,2,1,2,4,2,890.352,20.856,-20.856,890.352,20.856,-20.856,0.0
2366,1,1,2,4,2,228.678,1.431,-1.413,228.678,1.431,-1.413,1.0
511,1,1,1,1,1,67.8349,0.1236,-0.1232,67.8349,0.1236,-0.1232,0.0
62,1,1,1,2,2,44.9543,0.0593,-0.0592,44.9543,0.0593,-0.0592,2.0
3626,3,1,3,4,2,778.654,9.2165,-9.2165,778.654,9.2165,-9.2165,0.0
3341,3,1,3,4,2,1104.64,16.88,-16.38,1104.64,16.88,-16.38,1.0
1545,1,3,1,4,2,249.645,2.489,-2.441,249.645,2.489,-2.441,1.0
4437,1,1,2,4,2,649.65,6.4095,-6.4095,649.65,6.4095,-6.4095,1.0
4640,1,1,1,4,2,122.881,0.404,-0.401,122.881,0.404,-0.401,1.0
122,1,1,1,2,1,134.846,1.282,-1.258,134.846,1.282,-1.258,1.0
4028,1,1,1,4,2,332.443,3.781,-3.698,332.443,3.781,-3.698,1.0
5246,1,1,1,1,1,15.4744,0.01165,-0.01165,15.4744,0.01165,-0.01165,0.0
5298,1,1,1,4,1,227.537,3.11,-3.028,227.537,3.11,-3.028,1.0
3639,1,1,2,4,2,489.141,3.239,-3.198,489.141,3.239,-3.198,1.0
1210,1,1,1,1,1,32.413,0.0575,-0.0572,32.413,0.0575,-0.0572,0.0
567,1,1,1,1,1,39.3466,0.0672,-0.067,39.3466,0.0672,-0.067,0.0
4078,1,1,1,4,2,390.374,3.992,-3.914,390.374,3.992,-3.914,1.0
3871,2,1,2,4,2,1065.08,43.33,-40.14,1065.08,43.33,-40.14,1.0
864,1,1,1,1,1,41.0014,0.0567,-0.0565,41.0014,0.0567,-0.0565,0.0
4899,1,2,1,11,2,415.17,4.8765,-4.7835,415.17,4.8765,-4.7835,1.0
4796,1,1,1,7,1,6100.0,1300.0,-1700.0,6100.0,1300.0,-1700.0,5.0
3978,1,1,1,4,2,1249.41,24.04,-23.18,1249.41,24.04,-23.18,1.0
2119,1,1,1,4,2,1230.42,36.06,-34.1,1230.42,36.06,-34.1,1.0
1292,1,1,1,1,1,102.275,0.407,-0.404,102.275,0.407,-0.404,0.0
720,1,1,1,1,1,63.3574,0.2184,-0.2168,63.3574,0.2184,-0.2168,0.0
3288,2,2,6,4,2,282.563,1.776,-1.753,282.563,1.776,-1.753,3.0
2784,1,1,1,4,2,1137.81,17.53,-17.53,1137.81,17.53,-17.53,1.0
4093,4,1,5,4,2,578.796,9.604,-9.3,578.796,9.604,-9.3,1.0
602,1,1,1,1,1,105.168,0.311,-0.31,105.168,0.311,-0.31,0.0
1407,1,1,1,4,2,247.266,2.805,-2.744,247.266,2.805,-2.744,0.0
3976,3,2,3,4,2,1025.02,30.6445,-30.6445,1025.02,30.6445,-30.6445,3.0
2254,1,1,1,4,2,459.957,4.049,-3.979,459.957,4.049,-3.979,1.0
1350,3,2,3,4,2,59.2474,0.1877,-0.1865,59.2474,0.1877,-0.1865,6.0
3662,3,1,3,4,2,823.242,14.211,-14.211,823.242,14.211,-14.211,1.0
4151,1,1,1,4,2,1153.13,25.44,-24.38,1153.13,25.44,-24.38,1.0
